method,NQ,TriviaQA,PopQA,HotpotQA,2wiki,Musique,Bamboogle,Avg
Qwen2.5-14b / Direct Inference,0.198,0.531,0.184,0.217,0.253,0.045,0.160,0.227
Qwen2.5-14b / CoT,0.190,0.495,0.148,0.269,0.297,0.054,0.432,0.269
Qwen2.5-14b / IRCoT,0.114,0.375,0.166,0.230,0.248,0.102,0.312,0.221
Qwen2.5-14b / Search-o1,0.347,0.635,0.241,0.268,0.161,0.099,0.416,0.310
Qwen2.5-14b / RAG,0.327,0.585,0.376,0.279,0.160,0.051,0.192,0.281
Qwen2.5-14b / SFT,0.361,0.467,0.150,0.248,0.278,0.089,0.160,0.250
Qwen2.5-14b / R1-base,0.369,0.626,0.270,0.306,0.326,0.117,0.488,0.357
Qwen2.5-14b / R1-instruct,0.334,0.628,0.253,0.294,0.325,0.108,0.432,0.339
Qwen2.5-14b / Search-R1-base,0.486,0.676,0.480,0.468,0.470,0.241,0.528,0.479
Qwen2.5-14b / Search-R1-instruct,0.424,0.660,0.442,0.436,0.379,0.210,0.480,0.433
