step,Base,Instruct,provenance
0,0.125667,0.173765,reconstructed_from_paper
1,0.096398,0.189928,reconstructed_from_paper
2,0.107727,0.180640,reconstructed_from_paper
3,0.106007,0.198076,reconstructed_from_paper
4,0.113667,0.186169,reconstructed_from_paper
5,0.092080,0.192640,reconstructed_from_paper
6,0.102751,0.192281,reconstructed_from_paper
7,0.100192,0.196742,reconstructed_from_paper
8,0.097780,0.177615,reconstructed_from_paper
9,0.100920,0.202655,reconstructed_from_paper
10,0.105077,0.194416,reconstructed_from_paper
11,0.108188,0.185191,reconstructed_from_paper
12,0.102856,0.202752,reconstructed_from_paper
13,0.117021,0.201761,reconstructed_from_paper
14,0.108216,0.212905,reconstructed_from_paper
15,0.082616,0.209108,reconstructed_from_paper
16,0.127415,0.207246,reconstructed_from_paper
17,0.112516,0.189093,reconstructed_from_paper
18,0.109940,0.224047,reconstructed_from_paper
19,0.121009,0.224052,reconstructed_from_paper
20,0.121588,0.218875,reconstructed_from_paper
21,0.120792,0.217694,reconstructed_from_paper
22,0.112707,0.227253,reconstructed_from_paper
23,0.124168,0.208432,reconstructed_from_paper
24,0.107891,0.226180,reconstructed_from_paper
25,0.138725,0.221480,reconstructed_from_paper
26,0.112672,0.213350,reconstructed_from_paper
27,0.124312,0.229196,reconstructed_from_paper
28,0.127632,0.231221,reconstructed_from_paper
29,0.130705,0.246933,reconstructed_from_paper
30,0.127138,0.241555,reconstructed_from_paper
31,0.135533,0.218332,reconstructed_from_paper
32,0.095470,0.217007,reconstructed_from_paper
33,0.130604,0.238135,reconstructed_from_paper
34,0.131185,0.239142,reconstructed_from_paper
35,0.129594,0.234200,reconstructed_from_paper
36,0.150399,0.231325,reconstructed_from_paper
37,0.126499,0.246324,reconstructed_from_paper
38,0.136623,0.239065,reconstructed_from_paper
39,0.118283,0.246113,reconstructed_from_paper
40,0.142594,0.264045,reconstructed_from_paper
41,0.124787,0.260214,reconstructed_from_paper
42,0.126542,0.252693,reconstructed_from_paper
43,0.167247,0.251417,reconstructed_from_paper
44,0.151894,0.263203,reconstructed_from_paper
45,0.146000,0.284837,reconstructed_from_paper
46,0.149088,0.264850,reconstructed_from_paper
47,0.134142,0.289651,reconstructed_from_paper
48,0.139358,0.266886,reconstructed_from_paper
49,0.155563,0.275069,reconstructed_from_paper
50,0.131235,0.286524,reconstructed_from_paper
51,0.156709,0.274242,reconstructed_from_paper
52,0.137762,0.284904,reconstructed_from_paper
53,0.157899,0.273185,reconstructed_from_paper
54,0.146791,0.295713,reconstructed_from_paper
55,0.177207,0.303017,reconstructed_from_paper
56,0.171136,0.287265,reconstructed_from_paper
57,0.157008,0.297934,reconstructed_from_paper
58,0.144487,0.294278,reconstructed_from_paper
59,0.157120,0.279054,reconstructed_from_paper
60,0.165945,0.330332,reconstructed_from_paper
61,0.157894,0.311395,reconstructed_from_paper
62,0.172302,0.315573,reconstructed_from_paper
63,0.180927,0.313357,reconstructed_from_paper
64,0.171801,0.313358,reconstructed_from_paper
65,0.169435,0.337448,reconstructed_from_paper
66,0.183269,0.297568,reconstructed_from_paper
67,0.173833,0.314760,reconstructed_from_paper
68,0.186968,0.315716,reconstructed_from_paper
69,0.176628,0.319833,reconstructed_from_paper
70,0.197794,0.330839,reconstructed_from_paper
71,0.180089,0.318594,reconstructed_from_paper
72,0.173698,0.314434,reconstructed_from_paper
73,0.186993,0.318285,reconstructed_from_paper
74,0.181137,0.335979,reconstructed_from_paper
75,0.179584,0.342718,reconstructed_from_paper
76,0.189405,0.343048,reconstructed_from_paper
77,0.199879,0.352664,reconstructed_from_paper
78,0.171877,0.333193,reconstructed_from_paper
79,0.194978,0.349965,reconstructed_from_paper
80,0.195476,0.348513,reconstructed_from_paper
81,0.197129,0.341584,reconstructed_from_paper
82,0.208381,0.337269,reconstructed_from_paper
83,0.188552,0.355093,reconstructed_from_paper
84,0.210148,0.340974,reconstructed_from_paper
85,0.202730,0.346290,reconstructed_from_paper
86,0.207800,0.340907,reconstructed_from_paper
87,0.206049,0.369490,reconstructed_from_paper
88,0.206568,0.352828,reconstructed_from_paper
89,0.206215,0.349662,reconstructed_from_paper
90,0.217370,0.353453,reconstructed_from_paper
91,0.236196,0.354906,reconstructed_from_paper
92,0.227172,0.359273,reconstructed_from_paper
93,0.226777,0.342486,reconstructed_from_paper
94,0.225429,0.349076,reconstructed_from_paper
95,0.216548,0.366880,reconstructed_from_paper
96,0.229192,0.373728,reconstructed_from_paper
97,0.245733,0.353828,reconstructed_from_paper
98,0.213313,0.366097,reconstructed_from_paper
99,0.236394,0.360192,reconstructed_from_paper
100,0.239915,0.344161,reconstructed_from_paper
101,0.234125,0.364738,reconstructed_from_paper
102,0.240902,0.357906,reconstructed_from_paper
103,0.248655,0.378362,reconstructed_from_paper
104,0.258653,0.368389,reconstructed_from_paper
105,0.251070,0.370934,reconstructed_from_paper
106,0.256268,0.357488,reconstructed_from_paper
107,0.244471,0.374344,reconstructed_from_paper
108,0.251124,0.354176,reconstructed_from_paper
109,0.246121,0.376585,reconstructed_from_paper
110,0.248960,0.388876,reconstructed_from_paper
111,0.242891,0.363654,reconstructed_from_paper
112,0.256064,0.384972,reconstructed_from_paper
113,0.265464,0.391155,reconstructed_from_paper
114,0.250774,0.375704,reconstructed_from_paper
115,0.256530,0.389477,reconstructed_from_paper
116,0.261851,0.379726,reconstructed_from_paper
117,0.257324,0.374520,reconstructed_from_paper
118,0.268178,0.359897,reconstructed_from_paper
119,0.262843,0.369738,reconstructed_from_paper
120,0.249960,0.366163,reconstructed_from_paper
121,0.252912,0.405363,reconstructed_from_paper
122,0.272213,0.384599,reconstructed_from_paper
123,0.272764,0.380728,reconstructed_from_paper
124,0.279055,0.369386,reconstructed_from_paper
125,0.271938,0.400573,reconstructed_from_paper
126,0.272965,0.372126,reconstructed_from_paper
127,0.256465,0.399021,reconstructed_from_paper
128,0.287966,0.395413,reconstructed_from_paper
129,0.266020,0.385647,reconstructed_from_paper
130,0.287310,0.378663,reconstructed_from_paper
131,0.266706,0.385165,reconstructed_from_paper
132,0.272979,0.372706,reconstructed_from_paper
133,0.282657,0.392796,reconstructed_from_paper
134,0.278212,0.403472,reconstructed_from_paper
135,0.276854,0.395839,reconstructed_from_paper
136,0.294361,0.397704,reconstructed_from_paper
137,0.293520,0.380487,reconstructed_from_paper
138,0.292053,0.390833,reconstructed_from_paper
139,0.286018,0.377764,reconstructed_from_paper
140,0.282457,0.383757,reconstructed_from_paper
141,0.287305,0.395808,reconstructed_from_paper
142,0.288159,0.413821,reconstructed_from_paper
143,0.294497,0.389690,reconstructed_from_paper
144,0.303808,0.389554,reconstructed_from_paper
145,0.295655,0.370447,reconstructed_from_paper
146,0.290665,0.391367,reconstructed_from_paper
147,0.293676,0.380696,reconstructed_from_paper
148,0.314070,0.375946,reconstructed_from_paper
149,0.304055,0.375270,reconstructed_from_paper
150,0.306005,0.391779,reconstructed_from_paper
151,0.307689,0.386531,reconstructed_from_paper
152,0.312043,0.397488,reconstructed_from_paper
153,0.308674,0.388497,reconstructed_from_paper
154,0.320308,0.390968,reconstructed_from_paper
155,0.317816,0.405843,reconstructed_from_paper
156,0.282315,0.399349,reconstructed_from_paper
157,0.310573,0.399118,reconstructed_from_paper
158,0.342731,0.406345,reconstructed_from_paper
159,0.301318,0.393875,reconstructed_from_paper
160,0.316588,0.381869,reconstructed_from_paper
161,0.327265,0.383942,reconstructed_from_paper
162,0.317494,0.376365,reconstructed_from_paper
163,0.331998,0.395689,reconstructed_from_paper
164,0.306915,0.388199,reconstructed_from_paper
165,0.308086,0.397479,reconstructed_from_paper
166,0.319796,0.400820,reconstructed_from_paper
167,0.315295,0.384398,reconstructed_from_paper
168,0.312928,0.394483,reconstructed_from_paper
169,0.330420,0.405470,reconstructed_from_paper
170,0.328399,0.393647,reconstructed_from_paper
171,0.326757,0.402242,reconstructed_from_paper
172,0.323548,0.391000,reconstructed_from_paper
173,0.331199,0.383509,reconstructed_from_paper
174,0.328273,0.390797,reconstructed_from_paper
175,0.323083,0.374261,reconstructed_from_paper
176,0.336438,0.400367,reconstructed_from_paper
177,0.335915,0.388126,reconstructed_from_paper
178,0.333888,0.406890,reconstructed_from_paper
179,0.340898,0.381070,reconstructed_from_paper
180,0.323719,0.394765,reconstructed_from_paper
181,0.334190,0.396991,reconstructed_from_paper
182,0.331222,0.391569,reconstructed_from_paper
183,0.350625,0.397497,reconstructed_from_paper
184,0.343191,0.386107,reconstructed_from_paper
185,0.360069,0.382949,reconstructed_from_paper
186,0.355410,0.379630,reconstructed_from_paper
187,0.336747,0.388150,reconstructed_from_paper
188,0.330274,0.385684,reconstructed_from_paper
189,0.346815,0.396316,reconstructed_from_paper
190,0.339883,0.390253,reconstructed_from_paper
191,0.341863,0.387344,reconstructed_from_paper
192,0.333545,0.386645,reconstructed_from_paper
193,0.350885,0.374928,reconstructed_from_paper
194,0.347430,0.390405,reconstructed_from_paper
195,0.350289,0.398320,reconstructed_from_paper
196,0.350038,0.380734,reconstructed_from_paper
197,0.338571,0.391613,reconstructed_from_paper
198,0.325868,0.401044,reconstructed_from_paper
199,0.346191,0.387258,reconstructed_from_paper
200,0.343189,0.396212,reconstructed_from_paper
