step,size=1,size=3,size=5,provenance
0,0.053422,0.045819,0.088073,reconstructed_from_paper
1,0.060637,0.054859,0.013970,reconstructed_from_paper
2,0.054311,0.056369,0.053215,reconstructed_from_paper
3,0.053824,0.066538,0.028172,reconstructed_from_paper
4,0.048606,0.061835,0.073937,reconstructed_from_paper
5,0.055375,0.050219,0.101621,reconstructed_from_paper
6,0.067623,0.043231,0.020038,reconstructed_from_paper
7,0.061757,0.055609,0.063051,reconstructed_from_paper
8,0.067598,0.051812,0.070263,reconstructed_from_paper
9,0.060835,0.047972,0.058090,reconstructed_from_paper
10,0.062479,0.060550,0.072747,reconstructed_from_paper
11,0.060927,0.056683,0.029044,reconstructed_from_paper
12,0.044601,0.064484,0.079595,reconstructed_from_paper
13,0.067632,0.070150,0.072965,reconstructed_from_paper
14,0.064833,0.059575,0.068449,reconstructed_from_paper
15,0.065109,0.093091,0.059774,reconstructed_from_paper
16,0.045744,0.062019,0.080502,reconstructed_from_paper
17,0.045620,0.079783,0.063654,reconstructed_from_paper
18,0.053660,0.068716,0.076145,reconstructed_from_paper
19,0.057807,0.081354,0.065589,reconstructed_from_paper
20,0.065127,0.040161,0.038998,reconstructed_from_paper
21,0.062324,0.060375,0.075664,reconstructed_from_paper
22,0.067789,0.073087,0.080640,reconstructed_from_paper
23,0.057685,0.078092,0.090737,reconstructed_from_paper
24,0.066611,0.099648,0.065934,reconstructed_from_paper
25,0.067750,0.076238,0.080728,reconstructed_from_paper
26,0.058626,0.088492,0.092461,reconstructed_from_paper
27,0.080409,0.083107,0.086265,reconstructed_from_paper
28,0.070340,0.086063,0.105191,reconstructed_from_paper
29,0.076485,0.081610,0.118574,reconstructed_from_paper
30,0.060513,0.074420,0.073589,reconstructed_from_paper
31,0.059827,0.083216,0.058835,reconstructed_from_paper
32,0.063776,0.064992,0.104740,reconstructed_from_paper
33,0.066307,0.092939,0.116993,reconstructed_from_paper
34,0.073349,0.067398,0.108789,reconstructed_from_paper
35,0.070294,0.083447,0.108589,reconstructed_from_paper
36,0.064433,0.106767,0.087224,reconstructed_from_paper
37,0.060251,0.079508,0.087285,reconstructed_from_paper
38,0.064584,0.083304,0.114519,reconstructed_from_paper
39,0.080668,0.097918,0.087345,reconstructed_from_paper
40,0.062820,0.085177,0.074565,reconstructed_from_paper
41,0.072710,0.076081,0.089288,reconstructed_from_paper
42,0.074764,0.089791,0.146818,reconstructed_from_paper
43,0.057939,0.094609,0.139432,reconstructed_from_paper
44,0.072207,0.097085,0.099412,reconstructed_from_paper
45,0.083954,0.080245,0.100492,reconstructed_from_paper
46,0.054499,0.111506,0.117640,reconstructed_from_paper
47,0.070167,0.111448,0.103751,reconstructed_from_paper
48,0.072542,0.092646,0.138528,reconstructed_from_paper
49,0.066581,0.096641,0.118160,reconstructed_from_paper
50,0.078855,0.089277,0.103900,reconstructed_from_paper
51,0.074263,0.112399,0.144111,reconstructed_from_paper
52,0.062090,0.087991,0.115748,reconstructed_from_paper
53,0.083174,0.105571,0.130547,reconstructed_from_paper
54,0.082202,0.092767,0.128753,reconstructed_from_paper
55,0.085148,0.091246,0.125893,reconstructed_from_paper
56,0.090061,0.109260,0.138109,reconstructed_from_paper
57,0.080819,0.117713,0.123836,reconstructed_from_paper
58,0.079099,0.102667,0.107428,reconstructed_from_paper
59,0.066803,0.095751,0.103653,reconstructed_from_paper
60,0.084507,0.114720,0.120774,reconstructed_from_paper
61,0.073938,0.105500,0.130980,reconstructed_from_paper
62,0.075849,0.110943,0.144839,reconstructed_from_paper
63,0.069022,0.126621,0.148199,reconstructed_from_paper
64,0.072182,0.123068,0.158333,reconstructed_from_paper
65,0.076599,0.104402,0.153492,reconstructed_from_paper
66,0.093471,0.139204,0.141030,reconstructed_from_paper
67,0.064080,0.113012,0.144547,reconstructed_from_paper
68,0.069745,0.123584,0.124166,reconstructed_from_paper
69,0.085519,0.107575,0.157550,reconstructed_from_paper
70,0.096860,0.116007,0.170215,reconstructed_from_paper
71,0.089584,0.096753,0.173144,reconstructed_from_paper
72,0.067789,0.140412,0.164949,reconstructed_from_paper
73,0.062738,0.136589,0.166336,reconstructed_from_paper
74,0.089137,0.106855,0.186345,reconstructed_from_paper
75,0.079814,0.104623,0.173859,reconstructed_from_paper
76,0.076886,0.104489,0.187673,reconstructed_from_paper
77,0.096288,0.139317,0.187451,reconstructed_from_paper
78,0.097938,0.120968,0.183809,reconstructed_from_paper
79,0.089971,0.127040,0.203575,reconstructed_from_paper
80,0.091305,0.125306,0.175787,reconstructed_from_paper
81,0.093542,0.128906,0.181489,reconstructed_from_paper
82,0.104522,0.118612,0.176587,reconstructed_from_paper
83,0.096294,0.133278,0.179046,reconstructed_from_paper
84,0.095941,0.117060,0.218984,reconstructed_from_paper
85,0.096756,0.134794,0.224525,reconstructed_from_paper
86,0.078269,0.140700,0.199030,reconstructed_from_paper
87,0.104479,0.143958,0.210042,reconstructed_from_paper
88,0.102103,0.136926,0.222039,reconstructed_from_paper
89,0.098840,0.130230,0.218435,reconstructed_from_paper
90,0.076879,0.144365,0.227080,reconstructed_from_paper
91,0.089514,0.138017,0.189861,reconstructed_from_paper
92,0.103374,0.164013,0.202107,reconstructed_from_paper
93,0.080072,0.155834,0.221842,reconstructed_from_paper
94,0.095300,0.146644,0.239822,reconstructed_from_paper
95,0.106719,0.143784,0.220768,reconstructed_from_paper
96,0.086332,0.142424,0.207612,reconstructed_from_paper
