step,w. mask,w.o. mask,provenance
0,0.035528,0.035970,reconstructed_from_paper
1,0.034315,0.014403,reconstructed_from_paper
2,0.034421,0.009501,reconstructed_from_paper
3,0.030416,0.031340,reconstructed_from_paper
4,0.036821,0.035834,reconstructed_from_paper
5,0.035489,0.021941,reconstructed_from_paper
6,0.044679,0.014411,reconstructed_from_paper
7,0.027849,0.003855,reconstructed_from_paper
8,0.057159,0.016050,reconstructed_from_paper
9,0.010804,0.018773,reconstructed_from_paper
10,0.037478,0.007394,reconstructed_from_paper
11,0.044553,0.028550,reconstructed_from_paper
12,0.035912,0.036683,reconstructed_from_paper
13,0.031630,0.028346,reconstructed_from_paper
14,0.037724,0.064161,reconstructed_from_paper
15,0.044261,0.035370,reconstructed_from_paper
16,0.049052,0.042768,reconstructed_from_paper
17,0.026456,0.088550,reconstructed_from_paper
18,0.041159,0.061048,reconstructed_from_paper
19,0.034378,0.039063,reconstructed_from_paper
20,0.048678,0.043707,reconstructed_from_paper
21,0.036139,0.036326,reconstructed_from_paper
22,0.041871,0.042822,reconstructed_from_paper
23,0.049957,0.037556,reconstructed_from_paper
24,0.038712,0.019600,reconstructed_from_paper
25,0.043485,0.021506,reconstructed_from_paper
26,0.035348,0.052504,reconstructed_from_paper
27,0.039678,0.067394,reconstructed_from_paper
28,0.026325,0.045933,reconstructed_from_paper
29,0.035616,0.028986,reconstructed_from_paper
30,0.038856,0.025959,reconstructed_from_paper
31,0.037769,0.066281,reconstructed_from_paper
32,0.061739,0.072127,reconstructed_from_paper
33,0.025295,0.061609,reconstructed_from_paper
34,0.026234,0.044686,reconstructed_from_paper
35,0.047071,0.039398,reconstructed_from_paper
36,0.050693,0.062285,reconstructed_from_paper
37,0.047279,0.043410,reconstructed_from_paper
38,0.056068,0.032747,reconstructed_from_paper
39,0.064317,0.014857,reconstructed_from_paper
40,0.043460,0.039167,reconstructed_from_paper
41,0.036714,0.045313,reconstructed_from_paper
42,0.046921,0.035797,reconstructed_from_paper
43,0.058637,0.070281,reconstructed_from_paper
44,0.052803,0.036529,reconstructed_from_paper
45,0.048121,0.066245,reconstructed_from_paper
46,0.052870,0.052462,reconstructed_from_paper
47,0.053183,0.046759,reconstructed_from_paper
48,0.037003,0.062089,reconstructed_from_paper
49,0.055557,0.032751,reconstructed_from_paper
50,0.045462,0.070566,reconstructed_from_paper
51,0.050881,0.043201,reconstructed_from_paper
52,0.049144,0.044731,reconstructed_from_paper
53,0.054660,0.058861,reconstructed_from_paper
54,0.062369,0.054963,reconstructed_from_paper
55,0.053462,0.039406,reconstructed_from_paper
56,0.057071,0.064220,reconstructed_from_paper
57,0.063896,0.037167,reconstructed_from_paper
58,0.060787,0.052159,reconstructed_from_paper
59,0.051971,0.040141,reconstructed_from_paper
60,0.064807,0.049902,reconstructed_from_paper
61,0.055362,0.061433,reconstructed_from_paper
62,0.057135,0.049062,reconstructed_from_paper
63,0.061830,0.038030,reconstructed_from_paper
64,0.073269,0.066999,reconstructed_from_paper
65,0.054163,0.059401,reconstructed_from_paper
66,0.058749,0.039730,reconstructed_from_paper
67,0.063963,0.044638,reconstructed_from_paper
68,0.056245,0.043656,reconstructed_from_paper
69,0.065063,0.088367,reconstructed_from_paper
70,0.075225,0.054019,reconstructed_from_paper
71,0.050604,0.072962,reconstructed_from_paper
72,0.066445,0.060989,reconstructed_from_paper
73,0.060964,0.062652,reconstructed_from_paper
74,0.084647,0.053272,reconstructed_from_paper
75,0.073369,0.020934,reconstructed_from_paper
76,0.074179,0.047756,reconstructed_from_paper
77,0.068920,0.054386,reconstructed_from_paper
78,0.062134,0.039169,reconstructed_from_paper
79,0.072080,0.073530,reconstructed_from_paper
80,0.075213,0.051141,reconstructed_from_paper
81,0.073315,0.048930,reconstructed_from_paper
82,0.088744,0.017064,reconstructed_from_paper
83,0.081120,0.063377,reconstructed_from_paper
84,0.068047,0.064713,reconstructed_from_paper
85,0.073185,0.027853,reconstructed_from_paper
86,0.079667,0.029603,reconstructed_from_paper
87,0.068094,0.062493,reconstructed_from_paper
88,0.077355,0.028989,reconstructed_from_paper
89,0.074658,0.051780,reconstructed_from_paper
90,0.082217,0.043546,reconstructed_from_paper
91,0.082736,0.067051,reconstructed_from_paper
92,0.077328,0.046374,reconstructed_from_paper
93,0.094042,0.054111,reconstructed_from_paper
94,0.079561,0.042761,reconstructed_from_paper
95,0.090945,0.018415,reconstructed_from_paper
96,0.077633,0.044383,reconstructed_from_paper
97,0.079305,0.066097,reconstructed_from_paper
98,0.083040,0.043090,reconstructed_from_paper
99,0.085822,0.049486,reconstructed_from_paper
100,0.096972,0.045156,reconstructed_from_paper
101,0.078775,0.055497,reconstructed_from_paper
102,0.105969,0.053501,reconstructed_from_paper
103,0.083248,0.062494,reconstructed_from_paper
104,0.106603,0.031191,reconstructed_from_paper
105,0.096916,0.019073,reconstructed_from_paper
106,0.092254,0.060855,reconstructed_from_paper
107,0.104370,0.039171,reconstructed_from_paper
108,0.094531,0.046294,reconstructed_from_paper
109,0.099531,0.068576,reconstructed_from_paper
110,0.101205,0.039097,reconstructed_from_paper
111,0.125643,0.071740,reconstructed_from_paper
112,0.094707,0.046692,reconstructed_from_paper
113,0.119874,0.017983,reconstructed_from_paper
114,0.102772,0.047097,reconstructed_from_paper
115,0.100318,0.049263,reconstructed_from_paper
116,0.103273,0.049623,reconstructed_from_paper
117,0.118888,0.045605,reconstructed_from_paper
118,0.107984,0.083172,reconstructed_from_paper
