step,PPO,GRPO,provenance
0,0.079001,0.071205,reconstructed_from_paper
1,0.081277,0.072010,reconstructed_from_paper
2,0.068112,0.073622,reconstructed_from_paper
3,0.060472,0.060594,reconstructed_from_paper
4,0.057868,0.081524,reconstructed_from_paper
5,0.069777,0.072557,reconstructed_from_paper
6,0.059920,0.091893,reconstructed_from_paper
7,0.056451,0.084254,reconstructed_from_paper
8,0.073494,0.060409,reconstructed_from_paper
9,0.073518,0.062331,reconstructed_from_paper
10,0.078334,0.084880,reconstructed_from_paper
11,0.064416,0.078512,reconstructed_from_paper
12,0.074294,0.093314,reconstructed_from_paper
13,0.074286,0.099488,reconstructed_from_paper
14,0.060565,0.089969,reconstructed_from_paper
15,0.081695,0.067625,reconstructed_from_paper
16,0.080214,0.076045,reconstructed_from_paper
17,0.101592,0.102377,reconstructed_from_paper
18,0.080424,0.081280,reconstructed_from_paper
19,0.077641,0.113162,reconstructed_from_paper
20,0.092110,0.098050,reconstructed_from_paper
21,0.082464,0.108313,reconstructed_from_paper
22,0.090261,0.090408,reconstructed_from_paper
23,0.078209,0.103167,reconstructed_from_paper
24,0.084740,0.064924,reconstructed_from_paper
25,0.093495,0.105313,reconstructed_from_paper
26,0.090907,0.118151,reconstructed_from_paper
27,0.085921,0.099465,reconstructed_from_paper
28,0.074505,0.102171,reconstructed_from_paper
29,0.090470,0.115199,reconstructed_from_paper
30,0.087476,0.118866,reconstructed_from_paper
31,0.094600,0.108687,reconstructed_from_paper
32,0.090244,0.131539,reconstructed_from_paper
33,0.099649,0.101149,reconstructed_from_paper
34,0.088935,0.141932,reconstructed_from_paper
35,0.092152,0.108853,reconstructed_from_paper
36,0.097481,0.119181,reconstructed_from_paper
37,0.080622,0.151587,reconstructed_from_paper
38,0.088151,0.121285,reconstructed_from_paper
39,0.087842,0.114361,reconstructed_from_paper
40,0.113320,0.140896,reconstructed_from_paper
41,0.093256,0.129317,reconstructed_from_paper
42,0.101374,0.128945,reconstructed_from_paper
43,0.101711,0.137174,reconstructed_from_paper
44,0.093372,0.139022,reconstructed_from_paper
45,0.081333,0.138256,reconstructed_from_paper
46,0.107148,0.140002,reconstructed_from_paper
47,0.094082,0.179496,reconstructed_from_paper
48,0.105987,0.150062,reconstructed_from_paper
49,0.086404,0.175646,reconstructed_from_paper
50,0.095724,0.144972,reconstructed_from_paper
51,0.113316,0.174881,reconstructed_from_paper
52,0.115700,0.152396,reconstructed_from_paper
53,0.089003,0.166145,reconstructed_from_paper
54,0.089335,0.184149,reconstructed_from_paper
55,0.102853,0.170520,reconstructed_from_paper
56,0.111208,0.153160,reconstructed_from_paper
57,0.106157,0.175671,reconstructed_from_paper
58,0.108211,0.183948,reconstructed_from_paper
59,0.095908,0.196949,reconstructed_from_paper
60,0.112281,0.177725,reconstructed_from_paper
61,0.118196,0.190318,reconstructed_from_paper
62,0.103282,0.198174,reconstructed_from_paper
63,0.093913,0.177024,reconstructed_from_paper
64,0.101265,0.201441,reconstructed_from_paper
65,0.117072,0.194170,reconstructed_from_paper
66,0.092717,0.214731,reconstructed_from_paper
67,0.109732,0.209898,reconstructed_from_paper
68,0.101334,0.211958,reconstructed_from_paper
69,0.110523,0.183331,reconstructed_from_paper
70,0.109977,0.218463,reconstructed_from_paper
71,0.113165,0.217646,reconstructed_from_paper
72,0.128601,0.212470,reconstructed_from_paper
73,0.118375,0.221382,reconstructed_from_paper
74,0.128082,0.213677,reconstructed_from_paper
75,0.113904,0.236646,reconstructed_from_paper
76,0.111094,0.246273,reconstructed_from_paper
77,0.120247,0.248220,reconstructed_from_paper
78,0.088667,0.235395,reconstructed_from_paper
79,0.117190,0.268993,reconstructed_from_paper
80,0.119753,0.260229,reconstructed_from_paper
81,0.106359,0.237773,reconstructed_from_paper
82,0.123912,0.251865,reconstructed_from_paper
83,0.114231,0.233752,reconstructed_from_paper
84,0.095786,0.257646,reconstructed_from_paper
85,0.118796,0.271994,reconstructed_from_paper
86,0.111691,0.282480,reconstructed_from_paper
87,0.116822,0.261543,reconstructed_from_paper
88,0.121052,0.245018,reconstructed_from_paper
89,0.135630,0.270324,reconstructed_from_paper
90,0.124696,0.294376,reconstructed_from_paper
91,0.123922,0.279930,reconstructed_from_paper
92,0.128639,0.298340,reconstructed_from_paper
93,0.107169,0.294623,reconstructed_from_paper
94,0.138232,0.307398,reconstructed_from_paper
95,0.115599,0.296434,reconstructed_from_paper
96,0.131300,0.281220,reconstructed_from_paper
97,0.116180,0.299206,reconstructed_from_paper
98,0.118221,0.330901,reconstructed_from_paper
99,0.124561,0.290512,reconstructed_from_paper
100,0.148020,0.274135,reconstructed_from_paper
101,0.136577,0.331899,reconstructed_from_paper
102,0.124097,0.310463,reconstructed_from_paper
103,0.127835,0.298234,reconstructed_from_paper
104,0.119704,0.300745,reconstructed_from_paper
105,0.131416,0.289883,reconstructed_from_paper
106,0.126568,0.323472,reconstructed_from_paper
107,0.140060,0.317761,reconstructed_from_paper
108,0.119814,0.309001,reconstructed_from_paper
109,0.130583,0.314014,reconstructed_from_paper
