step,Response Length,Train Reward,provenance
0,1093.443973,0.151986,reconstructed_from_paper
1,1101.888103,0.156997,reconstructed_from_paper
2,1083.574405,0.154500,reconstructed_from_paper
3,1098.033892,0.167556,reconstructed_from_paper
4,1087.018880,0.151138,reconstructed_from_paper
5,1085.920856,0.174002,reconstructed_from_paper
6,1102.050877,0.151784,reconstructed_from_paper
7,1086.868478,0.168888,reconstructed_from_paper
8,1083.930536,0.155032,reconstructed_from_paper
9,1088.682007,0.175237,reconstructed_from_paper
10,1090.335052,0.164003,reconstructed_from_paper
11,1079.445687,0.166986,reconstructed_from_paper
12,1082.662692,0.170671,reconstructed_from_paper
13,1068.325683,0.160577,reconstructed_from_paper
14,1071.224961,0.158292,reconstructed_from_paper
15,1068.582195,0.151413,reconstructed_from_paper
16,1059.238442,0.178412,reconstructed_from_paper
17,1055.517751,0.164136,reconstructed_from_paper
18,1052.138034,0.166051,reconstructed_from_paper
19,1060.689280,0.171649,reconstructed_from_paper
20,1058.542132,0.188944,reconstructed_from_paper
21,1054.560769,0.160370,reconstructed_from_paper
22,1054.759302,0.177383,reconstructed_from_paper
23,1040.488250,0.173438,reconstructed_from_paper
24,1047.391725,0.182104,reconstructed_from_paper
25,1046.679698,0.164725,reconstructed_from_paper
26,1047.429861,0.177227,reconstructed_from_paper
27,1031.204791,0.188451,reconstructed_from_paper
28,1031.243461,0.195539,reconstructed_from_paper
29,1014.713065,0.197202,reconstructed_from_paper
30,1023.131919,0.178972,reconstructed_from_paper
31,1005.860033,0.187651,reconstructed_from_paper
32,1008.308752,0.187756,reconstructed_from_paper
33,1024.676703,0.179064,reconstructed_from_paper
34,994.436002,0.180009,reconstructed_from_paper
35,1014.619104,0.199059,reconstructed_from_paper
36,1007.046190,0.196454,reconstructed_from_paper
37,998.141227,0.194846,reconstructed_from_paper
38,1000.569647,0.207223,reconstructed_from_paper
39,997.420776,0.191003,reconstructed_from_paper
40,997.934573,0.204758,reconstructed_from_paper
41,984.174361,0.202161,reconstructed_from_paper
42,977.813001,0.203148,reconstructed_from_paper
43,974.345038,0.209091,reconstructed_from_paper
44,968.028887,0.208125,reconstructed_from_paper
45,972.415225,0.210403,reconstructed_from_paper
46,963.465867,0.211944,reconstructed_from_paper
47,975.407480,0.226878,reconstructed_from_paper
48,949.144822,0.210431,reconstructed_from_paper
49,952.730608,0.222561,reconstructed_from_paper
50,951.377526,0.220871,reconstructed_from_paper
51,939.926520,0.214742,reconstructed_from_paper
52,969.699540,0.225434,reconstructed_from_paper
53,933.172227,0.213729,reconstructed_from_paper
54,948.275597,0.231387,reconstructed_from_paper
55,944.587408,0.217132,reconstructed_from_paper
56,960.426169,0.221184,reconstructed_from_paper
57,929.825431,0.229173,reconstructed_from_paper
58,952.950916,0.234722,reconstructed_from_paper
59,937.326866,0.236786,reconstructed_from_paper
60,940.869359,0.238125,reconstructed_from_paper
61,935.803794,0.230762,reconstructed_from_paper
62,945.479352,0.226199,reconstructed_from_paper
63,930.558098,0.239662,reconstructed_from_paper
64,938.447419,0.239083,reconstructed_from_paper
65,941.436977,0.230440,reconstructed_from_paper
66,952.970444,0.247229,reconstructed_from_paper
67,918.748601,0.242403,reconstructed_from_paper
68,950.034121,0.234506,reconstructed_from_paper
69,945.356075,0.247044,reconstructed_from_paper
70,933.933631,0.234248,reconstructed_from_paper
71,940.361505,0.239154,reconstructed_from_paper
72,934.399316,0.250707,reconstructed_from_paper
73,951.588776,0.236334,reconstructed_from_paper
74,940.458545,0.250392,reconstructed_from_paper
75,937.500626,0.240569,reconstructed_from_paper
76,937.917471,0.258556,reconstructed_from_paper
77,938.730928,0.248113,reconstructed_from_paper
78,939.573629,0.256658,reconstructed_from_paper
79,934.677766,0.244437,reconstructed_from_paper
80,958.963715,0.254959,reconstructed_from_paper
81,928.058793,0.266540,reconstructed_from_paper
82,915.411003,0.263866,reconstructed_from_paper
83,944.243388,0.246742,reconstructed_from_paper
84,945.080150,0.270086,reconstructed_from_paper
85,950.314523,0.271067,reconstructed_from_paper
86,946.835963,0.262156,reconstructed_from_paper
87,948.477405,0.277740,reconstructed_from_paper
88,953.563699,0.259167,reconstructed_from_paper
89,959.946096,0.268195,reconstructed_from_paper
90,949.959114,0.279027,reconstructed_from_paper
91,951.953996,0.281841,reconstructed_from_paper
92,971.903039,0.282844,reconstructed_from_paper
93,962.109326,0.265097,reconstructed_from_paper
94,951.523099,0.260861,reconstructed_from_paper
95,979.582532,0.279491,reconstructed_from_paper
96,968.828697,0.266169,reconstructed_from_paper
97,959.585537,0.277838,reconstructed_from_paper
98,956.623488,0.269912,reconstructed_from_paper
99,970.171342,0.289936,reconstructed_from_paper
100,962.937475,0.289162,reconstructed_from_paper
101,962.989005,0.288480,reconstructed_from_paper
102,962.979063,0.285471,reconstructed_from_paper
103,971.238595,0.287014,reconstructed_from_paper
104,986.132133,0.285589,reconstructed_from_paper
105,975.829820,0.292368,reconstructed_from_paper
106,969.770928,0.292638,reconstructed_from_paper
107,988.827056,0.295668,reconstructed_from_paper
108,986.153393,0.289925,reconstructed_from_paper
109,994.571477,0.309917,reconstructed_from_paper
110,999.667474,0.298369,reconstructed_from_paper
111,990.977124,0.308661,reconstructed_from_paper
112,993.481685,0.309557,reconstructed_from_paper
113,996.629261,0.293295,reconstructed_from_paper
114,990.308131,0.288262,reconstructed_from_paper
115,1007.166946,0.313254,reconstructed_from_paper
116,1015.261074,0.301548,reconstructed_from_paper
117,1008.179620,0.306767,reconstructed_from_paper
118,1007.432222,0.305512,reconstructed_from_paper
119,1009.831550,0.310118,reconstructed_from_paper
120,1008.280420,0.301053,reconstructed_from_paper
121,1010.743635,0.311254,reconstructed_from_paper
122,1016.652404,0.309889,reconstructed_from_paper
123,1015.841315,0.315010,reconstructed_from_paper
124,1021.828409,0.297993,reconstructed_from_paper
125,1015.491608,0.324795,reconstructed_from_paper
126,1033.724370,0.322448,reconstructed_from_paper
127,1034.160646,0.307553,reconstructed_from_paper
128,1027.421137,0.317080,reconstructed_from_paper
129,1021.157304,0.324797,reconstructed_from_paper
130,1042.410554,0.331183,reconstructed_from_paper
131,1054.260382,0.327769,reconstructed_from_paper
132,1042.541673,0.340457,reconstructed_from_paper
133,1047.551888,0.331198,reconstructed_from_paper
134,1049.897569,0.324658,reconstructed_from_paper
135,1062.722037,0.328895,reconstructed_from_paper
136,1053.239677,0.341909,reconstructed_from_paper
137,1071.545082,0.332715,reconstructed_from_paper
138,1064.343583,0.346016,reconstructed_from_paper
139,1077.292300,0.349124,reconstructed_from_paper
140,1073.297639,0.347348,reconstructed_from_paper
141,1074.342910,0.352460,reconstructed_from_paper
142,1067.537642,0.344619,reconstructed_from_paper
143,1077.047171,0.347624,reconstructed_from_paper
144,1083.646228,0.344662,reconstructed_from_paper
145,1094.214272,0.346210,reconstructed_from_paper
146,1094.104347,0.340269,reconstructed_from_paper
147,1089.784626,0.350046,reconstructed_from_paper
148,1101.854681,0.347622,reconstructed_from_paper
149,1109.696818,0.346471,reconstructed_from_paper
150,1103.832662,0.360765,reconstructed_from_paper
151,1104.732124,0.364929,reconstructed_from_paper
152,1108.316043,0.360257,reconstructed_from_paper
153,1121.170310,0.375634,reconstructed_from_paper
154,1122.206609,0.373906,reconstructed_from_paper
155,1113.671902,0.376429,reconstructed_from_paper
156,1127.310283,0.364924,reconstructed_from_paper
157,1123.664668,0.359497,reconstructed_from_paper
158,1124.678412,0.377575,reconstructed_from_paper
159,1143.777252,0.377246,reconstructed_from_paper
160,1143.588894,0.382253,reconstructed_from_paper
161,1134.366444,0.381434,reconstructed_from_paper
162,1143.930181,0.389831,reconstructed_from_paper
163,1150.420750,0.379084,reconstructed_from_paper
164,1144.388953,0.388362,reconstructed_from_paper
165,1151.617776,0.377481,reconstructed_from_paper
166,1160.972231,0.367783,reconstructed_from_paper
167,1144.357978,0.384304,reconstructed_from_paper
168,1164.304599,0.401440,reconstructed_from_paper
169,1170.583209,0.377622,reconstructed_from_paper
170,1171.670885,0.400734,reconstructed_from_paper
171,1159.841962,0.388718,reconstructed_from_paper
172,1176.034438,0.392499,reconstructed_from_paper
173,1169.461315,0.397578,reconstructed_from_paper
174,1183.784124,0.400440,reconstructed_from_paper
175,1186.886648,0.392455,reconstructed_from_paper
176,1186.576610,0.402747,reconstructed_from_paper
177,1181.486548,0.406761,reconstructed_from_paper
178,1185.613489,0.411349,reconstructed_from_paper
179,1199.875183,0.400077,reconstructed_from_paper
180,1188.519867,0.419952,reconstructed_from_paper
181,1202.310547,0.424211,reconstructed_from_paper
182,1205.035576,0.429668,reconstructed_from_paper
183,1201.280425,0.401001,reconstructed_from_paper
184,1225.196076,0.414473,reconstructed_from_paper
185,1209.095768,0.399563,reconstructed_from_paper
186,1228.165254,0.418789,reconstructed_from_paper
187,1197.286948,0.421515,reconstructed_from_paper
188,1197.853945,0.409174,reconstructed_from_paper
189,1226.007533,0.406954,reconstructed_from_paper
190,1225.556231,0.422400,reconstructed_from_paper
191,1220.244492,0.427166,reconstructed_from_paper
192,1224.553600,0.417024,reconstructed_from_paper
193,1211.959887,0.422477,reconstructed_from_paper
194,1224.316715,0.405544,reconstructed_from_paper
195,1223.208058,0.421266,reconstructed_from_paper
196,1231.792110,0.429249,reconstructed_from_paper
197,1242.708176,0.430420,reconstructed_from_paper
198,1238.059837,0.442984,reconstructed_from_paper
199,1242.588931,0.422283,reconstructed_from_paper
200,1235.972335,0.414474,reconstructed_from_paper
