step,topk=1,topk=3,topk=5,provenance
0,0.118305,0.128737,0.109963,reconstructed_from_paper
1,0.097889,0.110572,0.124445,reconstructed_from_paper
2,0.107201,0.128370,0.127618,reconstructed_from_paper
3,0.115028,0.112871,0.169036,reconstructed_from_paper
4,0.127832,0.116526,0.115061,reconstructed_from_paper
5,0.114793,0.124291,0.120428,reconstructed_from_paper
6,0.100018,0.123367,0.139918,reconstructed_from_paper
7,0.117976,0.111846,0.114344,reconstructed_from_paper
8,0.104567,0.116370,0.150596,reconstructed_from_paper
9,0.126596,0.117727,0.114167,reconstructed_from_paper
10,0.113462,0.118422,0.115811,reconstructed_from_paper
11,0.132004,0.117432,0.156874,reconstructed_from_paper
12,0.115009,0.126134,0.133468,reconstructed_from_paper
13,0.107170,0.109438,0.134458,reconstructed_from_paper
14,0.103385,0.126679,0.126900,reconstructed_from_paper
15,0.113590,0.127726,0.156885,reconstructed_from_paper
16,0.121068,0.107927,0.132414,reconstructed_from_paper
17,0.127990,0.119170,0.119722,reconstructed_from_paper
18,0.119914,0.112509,0.144569,reconstructed_from_paper
19,0.111094,0.105587,0.120089,reconstructed_from_paper
20,0.122484,0.120731,0.152451,reconstructed_from_paper
21,0.105285,0.125820,0.138592,reconstructed_from_paper
22,0.122998,0.116698,0.170085,reconstructed_from_paper
23,0.111945,0.123980,0.130489,reconstructed_from_paper
24,0.132409,0.121617,0.151715,reconstructed_from_paper
25,0.128114,0.103431,0.139754,reconstructed_from_paper
26,0.122739,0.120107,0.128116,reconstructed_from_paper
27,0.110500,0.131121,0.134916,reconstructed_from_paper
28,0.124913,0.135340,0.158430,reconstructed_from_paper
29,0.123530,0.111317,0.146164,reconstructed_from_paper
30,0.115538,0.109027,0.172460,reconstructed_from_paper
31,0.115147,0.126719,0.161207,reconstructed_from_paper
32,0.132455,0.121018,0.172886,reconstructed_from_paper
33,0.117681,0.125117,0.167798,reconstructed_from_paper
34,0.125557,0.119419,0.166114,reconstructed_from_paper
35,0.134362,0.131049,0.167197,reconstructed_from_paper
36,0.108761,0.130837,0.177749,reconstructed_from_paper
37,0.138496,0.121562,0.151660,reconstructed_from_paper
38,0.131824,0.125519,0.182741,reconstructed_from_paper
39,0.117172,0.124686,0.174894,reconstructed_from_paper
40,0.114731,0.131411,0.165773,reconstructed_from_paper
41,0.112615,0.128921,0.186187,reconstructed_from_paper
42,0.132317,0.129598,0.173900,reconstructed_from_paper
43,0.101057,0.133073,0.144937,reconstructed_from_paper
44,0.132905,0.128099,0.178377,reconstructed_from_paper
45,0.126346,0.123104,0.178356,reconstructed_from_paper
46,0.118997,0.136123,0.186397,reconstructed_from_paper
47,0.120897,0.123914,0.177728,reconstructed_from_paper
48,0.122492,0.116849,0.192899,reconstructed_from_paper
49,0.124053,0.120902,0.167711,reconstructed_from_paper
50,0.134471,0.129779,0.169647,reconstructed_from_paper
51,0.119280,0.125090,0.178947,reconstructed_from_paper
52,0.136989,0.125983,0.168208,reconstructed_from_paper
53,0.136370,0.132168,0.207493,reconstructed_from_paper
54,0.125560,0.134540,0.205440,reconstructed_from_paper
55,0.133680,0.128552,0.193541,reconstructed_from_paper
